,éÌóﬁ,à íu X,Y,Z
ëê 04,4,-800,-40,800
ëê 04,4,-800,-40,600
ëê 04,4,-800,-40,400
ëê 04,4,-800,-40,200
ëê 04,4,-800,-40,0
ëê 04,4,-800,-40,-199.98999
ëê 04,4,-800,-40,-399.98999
ëê 04,4,-800,-40,-599.98999
ëê 04,4,-600,-40,800
ëê 04,4,-600,-40,600
ëê 04,4,-600,-40,400
ëê 04,4,-600,-40,200
ëê 04,4,-600,-40,0
ëê 04,4,-600,-40,-199.98999
ëê 04,4,-600,-40,-399.98999
ëê 04,4,-600,-40,-599.98999
ëê 04,4,-400,-40,800
ëê 04,4,-400,-40,600
ëê 04,4,-400,-40,400
ëê 04,4,-400,-40,200
ëê 04,4,-400,-40,0
ëê 04,4,-400,-40,-199.98999
ëê 04,4,-400,-40,-399.98999
ëê 04,4,-400,-40,-599.98999
ëê 04,4,-200,-40,800
ëê 04,4,-200,-40,600
ëê 04,4,-200,-40,400
ëê 04,4,-200,-40,200
ëê 04,4,-200,-40,0
ëê 04,4,-200,-40,-199.98999
ëê 04,4,-200,-40,-399.98999
ëê 04,4,-200,-40,-599.98999
ëê 04,4,0,-40,800
ëê 04,4,0,-40,600
ëê 04,4,0,-40,400
ëê 04,4,0,-40,200
ëê 04,4,0,-40,0
ëê 04,4,0,-40,-199.98999
ëê 04,4,0,-40,-399.98999
ëê 04,4,0,-40,-599.98999
ëê 04,4,199.98999,-40,800
ëê 04,4,199.98999,-40,600
ëê 04,4,199.98999,-40,400
ëê 04,4,199.98999,-40,200
ëê 04,4,199.98999,-40,0
ëê 04,4,199.98999,-40,-199.98999
ëê 04,4,199.98999,-40,-399.98999
ëê 04,4,199.98999,-40,-599.98999
ëê 04,4,399.98999,-40,800
ëê 04,4,399.98999,-40,600
ëê 04,4,399.98999,-40,400
ëê 04,4,399.98999,-40,200
ëê 04,4,399.98999,-40,0
ëê 04,4,399.98999,-40,-199.98999
ëê 04,4,399.98999,-40,-399.98999
ëê 04,4,399.98999,-40,-599.98999
ëê 04,4,599.98999,-40,800
ëê 04,4,599.98999,-40,600
ëê 04,4,599.98999,-40,400
ëê 04,4,599.98999,-40,200
ëê 04,4,599.98999,-40,0
ëê 04,4,599.98999,-40,-199.98999
ëê 04,4,599.98999,-40,-399.98999
ëê 04,4,599.98999,-40,-599.98999
ìy 04,13,-800,80,880
ìy 04,13,-600,80,880
ìy 04,13,-400,80,880
ìy 04,13,-200,80,880
ìy 04,13,0,80,880
ìy 04,13,199.98999,80,880
ìy 04,13,399.98999,80,880
ìy 04,13,599.98999,80,880
ìy 04,13,-800,80,-680
ìy 04,13,-600,80,-680
ìy 04,13,-400,80,-680
ìy 04,13,-200,80,-680
ìy 04,13,0,80,-680
ìy 04,13,199.98999,80,-680
ìy 04,13,399.98999,80,-680
ìy 04,13,599.98999,80,-680
ìy 04,9,-880,80,840
ìy 04,9,-880,80,800
ìy 04,9,-880,80,760
ìy 04,9,-880,80,720
ìy 04,9,-880,80,680
ìy 04,9,-880,80,640
ìy 04,9,-880,80,600
ìy 04,9,-880,80,560
ìy 04,9,-880,80,520
ìy 04,9,-880,80,480
ìy 04,9,-880,80,440
ìy 04,9,-880,80,400
ìy 04,9,-880,80,360
ìy 04,9,-880,80,320
ìy 04,9,-880,80,280
ìy 04,9,-880,80,240
ìy 04,9,-880,80,200
ìy 04,9,-880,80,160
ìy 04,9,-880,80,120
ìy 04,9,-880,80,80
ìy 04,9,-880,80,40
ìy 04,9,-880,80,0
ìy 04,9,-880,80,-39.989998
ìy 04,9,-880,80,-79.989998
ìy 04,9,-880,80,-119.989998
ìy 04,9,-880,80,-159.98999
ìy 04,9,-880,80,-199.98999
ìy 04,9,-880,80,-239.98999
ìy 04,9,-880,80,-279.98999
ìy 04,9,-880,80,-319.98999
ìy 04,9,-880,80,-359.98999
ìy 04,9,-880,80,-399.98999
ìy 04,9,-880,80,-439.98999
ìy 04,9,-880,80,-479.98999
ìy 04,9,-880,80,-519.98999
ìy 04,9,-880,80,-559.98999
ìy 04,9,-880,80,-599.98999
ìy 04,9,-880,80,-639.98999
ìy 04,9,680,80,840
ìy 04,9,680,80,800
ìy 04,9,680,80,760
ìy 04,9,680,80,720
ìy 04,9,680,80,680
ìy 04,9,680,80,640
ìy 04,9,680,80,600
ìy 04,9,680,80,560
ìy 04,9,680,80,520
ìy 04,9,680,80,480
ìy 04,9,680,80,440
ìy 04,9,680,80,400
ìy 04,9,680,80,360
ìy 04,9,680,80,320
ìy 04,9,680,80,280
ìy 04,9,680,80,240
ìy 04,9,680,80,200
ìy 04,9,680,80,160
ìy 04,9,680,80,120
ìy 04,9,680,80,80
ìy 04,9,680,80,40
ìy 04,9,680,80,0
ëê 00,9,680,80,-39.989998
ëê 00,9,680,80,-79.989998
ëê 00,9,680,80,-119.989998
ëê 00,9,680,80,-159.98999
ëê 00,9,680,80,-199.98999
ëê 00,9,680,80,-239.98999
ëê 00,9,680,80,-279.98999
ëê 00,9,680,80,-319.98999
ëê 00,9,680,80,-359.98999
ëê 00,9,680,80,-399.98999
ëê 00,9,680,80,-439.98999
ëê 00,9,680,80,-479.98999
ëê 00,9,680,80,-519.98999
